Date,AC,PUMA,MFC,XIT,XRE,XMA,XMV,XDV,XMD,XSP,XIN,XCB,XSB,XLB
2013-06-28,-0.016461277,0.080042708,0.004167905,-0.087122787,0.00380559,0.04538587,0.011304692,0.008353152,0.012045115,-0.006521819,0.001036684,-0.001921038,0.001751532,-0.001379503
2013-07-02,-0.00415801,0,0.008873648,-0.006716089,0.002528052,-0.019917528,0,0.006448728,0.007633641,0.006521819,0.010822236,0.003839065,-0.001050722,0.012348477
2013-07-03,0.016529302,0,0.00058843,-0.008119155,-0.011429433,0.007515604,-0.002344873,-0.004141366,-0.005241788,0.002704648,-0.005138611,-0.000479061,0.001050722,-0.001364576
2013-07-04,0.004089985,0,0.005283139,0.009465962,0.003188477,0.004151088,0.002344873,0.004141366,0.002862574,0.009142423,0.020398341,0.002392812,0.0003501,0.000910078
2013-07-05,-0.004089985,-0.080042708,0.012798327,-0.002695307,-0.000636718,-0.016708659,-0.005165614,-0.000459868,0,0,0.001008962,-0.008159246,-0.002803835,-0.017895148
2013-07-08,-0.020704673,0.080042708,0.03353553,-0.006770655,-0.011531213,0,0.007037645,0.007323149,0.005227138,0.004273325,0.002015394,0.005286942,0.001753931,0.007380672
2013-07-09,0,-0.039220713,0.005018195,-0.001359625,0.001287578,0.015879947,0,0.002731513,0.000947567,0.008492555,0.008519176,0.001437453,0.001049904,0.001377736
2013-07-10,-0.004192878,0.039220713,0.008859385,-0.004090001,-0.00064379,-0.001659762,0.002800986,-0.000909676,0.001419141,-0.000528318,-0.002498411,-0.001916973,-0.0003501,-0.005060962
2013-07-11,-0.042925045,0,-0.006637106,0.006807404,0.022916992,0.044668123,0.012508895,0.012664883,0.016413162,0.013655424,0.011440374,0.003351825,0.001748469,0.006436537
2013-07-12,0.034486176,0.037740328,-0.003335402,-0.006807404,-0.003151892,-0.01440017,0.001840053,-0.001799798,-0.000931043,0.001563781,-0.000989811,0.00095547,-0.000349207,0.002289291
2013-07-15,-0.00851069,-0.037740328,0.003335402,0,-0.001895976,0.003218311,0.013692452,0.003146879,0.003253885,0.002600899,0.005923205,0,0.000349207,-0.000457731
2013-07-16,-0.017241806,0.037740328,-0.005007113,-0.020704627,0.000632085,0.019093346,-0.002723835,-0.000448918,-0.003253885,-0.004164679,-0.008898273,0.002384756,0.000698407,0.001371902
2013-07-17,-0.013129291,0,0.002784834,0.004175387,0.001894779,-0.010296883,0.001816714,0.003585787,0.000465572,0.003644945,0.005940929,0.000952486,0.001047324,0.002737312
2013-07-18,0.004395611,0,0.0149049,0.001387931,-0.005059925,-0.005589006,0.00271884,0.007132815,0.001395244,0.004666904,0.008355995,-0.000475695,-0.000348732,-0.001368083
2013-07-19,-0.013245227,0,0,0.001386007,0.001267179,0.019032954,-0.00271884,0.00133174,0.006022515,0.002583547,-0.001469649,0.001427141,0,0.005006216
2013-07-22,-0.036203049,-0.037740328,0.011441127,-0.002773937,-0.007629128,0.038525656,0.006783174,0.002657965,0.005527432,0.000515509,0.000490081,0,0.000348732,0.001813654
2013-07-23,-0.009259325,0,-0.001626311,0,-0.003195493,0.015004214,0,0.00044264,0.002294408,-0.001548268,-0.00196164,-0.002379545,0,-0.007733121
2013-07-24,0.027524673,-0.039220713,0.003791202,0.01652924,-0.012615466,-0.031772759,-0.004970275,0.000577185,-0.009208356,-0.00362243,0.004408701,-0.003113635,-0.001994023,-0.009111541
2013-07-25,-0.013667639,-0.127833372,-0.001623124,0.001365317,-0.001303441,0.005365962,0,-0.001332071,-0.000462887,0.002071643,-0.005882746,0.001437983,0.000699522,0.003230945
2013-07-26,0.018182319,0,-0.009246907,0.005442087,-0.001303987,0.006857257,-0.000905778,-0.001777758,-0.001389199,0.001034126,-0.008392807,0.000479427,0.000350318,0.003220871
2013-07-29,-0.009049836,0.044451763,-0.00547931,0.005412876,0.003257832,-0.000759721,0,0.002666208,0.001852086,-0.003624187,-0.007464654,-0.000958145,-0.00104984,-0.005527805
2013-07-30,-0.056089467,0,-0.001099745,-0.001350567,0.001950139,-0.040315289,0.002716147,-0.001332388,-0.000925356,0.001036688,0.002494479,-0.001919116,-0.00070127,-0.004165429
2013-07-31,0.046956983,0.083381609,-0.004962683,0.038441044,-0.004555765,-0.023210433,-0.008170848,-0.006688697,0.002773502,0.000518059,0.00248808,0.003355654,0.00175111,0.005088387
2013-08-01,0.022676709,-0.040821995,0.019704985,-0.00390905,-0.018433172,-0.00813027,0.008170848,0.005800232,0.004606561,0.010816712,0.022119395,-0.004796553,-0.002101772,-0.010670185
2013-08-02,-0.022676709,0,0.00702148,-0.002614272,0.002653611,-0.00819655,-0.003169518,0.002220853,-0.005068192,0.001535704,0.000971827,0.002881068,0.002451429,0.009285027
